Benchmarks	system,cpu,cpi	system,cpu,dcache,overall_miss_rate::total	system,cpu,icache,overall_miss_rate::total	system,l2,overall_miss_rate::total
spec_results/speclibm/Benchmarks/64_64kB_4_64kB_2_2MB_8	3,493415	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_64kB_4_64kB_2_4MB_8	3,489571	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_64kB_8_64kB_2_2MB_8	3,493415	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_64kB_8_64kB_2_4MB_8	3,489571	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_128kB_4_64kB_2_2MB_8	3,493415	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_128kB_4_64kB_2_4MB_8	3,489571	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_128kB_8_64kB_2_2MB_8	3,493415	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/64_128kB_8_64kB_2_4MB_8	3,489571	0,060972	0,000088	0,999968
spec_results/speclibm/Benchmarks/128_64kB_4_64kB_2_2MB_8	2,581284	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_64kB_4_64kB_2_4MB_8	2,576597	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_64kB_8_64kB_2_2MB_8	2,581284	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_64kB_8_64kB_2_4MB_8	2,576597	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_128kB_4_64kB_2_2MB_8	2,581284	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_128kB_4_64kB_2_4MB_8	2,576597	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_128kB_8_64kB_2_2MB_8	2,581284	0,030487	0,000090	0,999925
spec_results/speclibm/Benchmarks/128_128kB_8_64kB_2_4MB_8	2,576597	0,030487	0,000090	0,999925
