cache_line	l1d_Size	l1d_Assoc	l1i_Size	l1i_Assoc	l2_Size	l2_Assoc	leakage	dynamic	runtime	energy	Area	Peak_Power
128	128kB	2	64kB	2	2MB	8	1,489480	0,963542	0,081727	200,478129	54,9009	10,8851
128	128kB	2	64kB	2	4MB	8	1,483120	0,955527	0,080849	197,162171	33,7043	10,217
128	128kB	4	64kB	2	2MB	8	1,492350	0,940469	0,081289	197,761424	54,9482	10,8275
128	128kB	4	64kB	2	4MB	8	1,485990	0,934269	0,080406	194,603345	33,7516	10,1593
128	64kB	2	64kB	2	2MB	8	1,354290	0,604178	0,083316	163,171720	52,4188	9,91251
128	64kB	2	64kB	2	4MB	8	1,347930	0,584676	0,082442	159,327904	31,2222	9,24434
128	64kB	4	64kB	2	2MB	8	1,353920	0,614585	0,082479	162,360324	52,3692	9,95755
128	64kB	4	64kB	2	4MB	8	1,347560	0,598308	0,081605	158,792558	31,1727	9,28939
64	128kB	2	64kB	2	2MB	8	1,843780	0,441788	0,082519	188,602786	21,0012	5,36199
64	128kB	2	64kB	2	4MB	8	1,848690	0,451344	0,081217	186,801861	27,3199	5,4871
64	128kB	4	64kB	2	2MB	8	1,587560	0,459097	0,082132	168,096033	22,12	5,14222
64	128kB	4	64kB	2	4MB	8	1,592470	0,468628	0,080836	166,610918	28,4386	5,26733
64	64kB	2	64kB	2	2MB	8	1,558160	0,347610	0,083994	160,073245	18,3463	4,865
64	64kB	2	64kB	2	4MB	8	1,563070	0,356651	0,082707	158,774365	24,665	4,99011
64	64kB	4	64kB	2	2MB	8	1,283060	0,347447	0,083195	135,650030	17,2098	4,59736
64	64kB	4	64kB	2	4MB	8	1,287980	0,356049	0,081894	134,636111	23,5284	4,72247
