cache_line	l1d_Size	l1d_Assoc	l1i_Size	l1i_Assoc	l2_Size	l2_Assoc	leakage	dynamic	runtime	energy	Area	Peak_Power
128	128kB	4	64kB	2	2MB	8	1,492350	0,613654	0,129064	271,809300	54,9482	10,8275
128	128kB	4	64kB	2	4MB	8	1,485990	0,603250	0,128830	269,156789	33,7516	10,1593
128	128kB	8	64kB	2	2MB	8	1,515850	0,672766	0,129064	282,471535	55,1612	11,0806
128	128kB	8	64kB	2	4MB	8	1,509490	0,662470	0,128830	279,813607	33,9646	10,4124
128	64kB	4	64kB	2	2MB	8	1,353920	0,411630	0,129064	227,868945	52,3692	9,95755
128	64kB	4	64kB	2	4MB	8	1,347560	0,400851	0,128830	225,247789	31,1727	9,28939
128	64kB	8	64kB	2	2MB	8	1,486550	0,670382	0,129064	278,382272	55,5826	11,0332
128	64kB	8	64kB	2	4MB	8	1,480190	0,660074	0,128830	275,730211	34,3861	10,365
64	128kB	4	64kB	2	2MB	8	1,587560	0,258974	0,174671	322,535940	22,12	5,14222
64	128kB	4	64kB	2	4MB	8	1,592470	0,261714	0,174479	323,516170	28,4386	5,26733
64	128kB	8	64kB	2	2MB	8	1,392750	0,299021	0,174671	295,503332	18,7609	5,1403
64	128kB	8	64kB	2	4MB	8	1,397660	0,301804	0,174479	296,520779	25,0795	5,26541
64	64kB	4	64kB	2	2MB	8	1,283060	0,208545	0,174671	260,540137	17,2098	4,59736
64	64kB	4	64kB	2	4MB	8	1,287980	0,211230	0,174479	261,580662	23,5284	4,72247
64	64kB	8	64kB	2	2MB	8	1,303730	0,253700	0,174671	272,037856	17,5104	4,84127
64	64kB	8	64kB	2	4MB	8	1,308640	0,256435	0,174479	273,072721	23,8291	4,96638
